Periodo,Subempleo
1/12/2007,476753
1/6/2008,464760
1/12/2008,408881
1/12/2009,435411
1/6/2010,444377
1/12/2010,339229
1/6/2011,310897
1/12/2011,277509
1/6/2012,264878
1/12/2012,254059
1/6/2013,328994
1/12/2013,318640
1/3/2014,322688
1/6/2014,319286
1/9/2014,315078
1/12/2014,375714
1/3/2015,389030
1/6/2015,383913
1/9/2015,453637
1/12/2015,429618
1/3/2016,552725
1/6/2016,520365
1/9/2016,645127
1/12/2016,628836
1/3/2017,679074
1/6/2017,665021
1/9/2017,712954
1/12/2017,670002
1/3/2018,576651
1/6/2018,591270
1/9/2018,645296
1/12/2018,517804
1/3/2019,550993
1/6/2019,665758
1/9/2019,642835
1/12/2019,547204
1/9/2020,767498
1/12/2020,682457
1/1/2021,700241
1/2/2021,669836
1/3/2021,647975
1/4/2021,747766
1/5/2021,730695
1/6/2021,712224
1/7/2021,779376
